Model;Feature Selection;Features Number;Precision;Recall;AUC;Kappa
RandomForest;info-gain;13;0.922792719860211;0.9220771477970547;0.9679013022935615;0.8391996310020561
NaiveBayes;info-gain;13;0.867835460138099;0.8628748584033865;0.9270751596656103;0.7131720270134391
IBk;info-gain;13;0.8960775690287633;0.8962022297740416;0.9407654452733096;0.7867230202361206
RandomForest;forward;5;0.9230114983388285;0.9230906814523341;0.9699357547474312;0.842292463118578
NaiveBayes;forward;4;0.9079985355810333;0.9075299588624576;0.9433577468352446;0.8092434720360184
IBk;forward;5;0.9258253778426877;0.9257139450307041;0.958341511583864;0.8472414264377972
