Project;Package;Class;Method;Version;LOC;Statement;Cyclomatic;Cognitive;MethodHistories;AddedLines;MaxAddedLines;AvgAddedLines;DeletedLines;MaxDeletedLines;AvgDeletedLines;Churn;MaxChurn;AvgChurn;BranchPoints;NestingDepth;ParametersCount;Buggy
BOOKKEEPER;org.apache.hedwig.client.netty.impl;AbstractHChannelManager;getNonSubscriptionChannel;4.2.0;1;1;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;1;1;true
BOOKKEEPER;org.apache.hedwig.client.netty.impl;AbstractHChannelManager;getNonSubscriptionChannel;4.2.1;1;1;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;1;1;true
BOOKKEEPER;org.apache.hedwig.client.netty;HedwigClientImpl;getHChannelManager;4.1.1;1;1;1;0;1;2;2;2,00;2;2;2,00;4;4;4,00;0;1;0;false
BOOKKEEPER;org.apache.hedwig.client.netty;HedwigClientImpl;getHChannelManager;4.2.0;1;1;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;1;0;true
BOOKKEEPER;org.apache.hedwig.client.netty;HedwigClientImpl;getHChannelManager;4.2.1;1;1;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;1;0;true
BOOKKEEPER;org.apache.bookkeeper.client;LedgerEntryRequest;complete;4.1.1;12;10;3;2;4;24;21;6,00;34;21;8,50;58;32;14,50;2;3;2;false
BOOKKEEPER;org.apache.bookkeeper.client;LedgerEntryRequest;complete;4.2.0;12;10;3;2;0;0;0;0,00;0;0;0,00;0;0;0,00;2;3;2;false
BOOKKEEPER;org.apache.bookkeeper.client;LedgerEntryRequest;complete;4.2.1;12;10;3;2;0;0;0;0,00;0;0;0,00;0;0;0,00;2;3;2;false
BOOKKEEPER;org.apache.hedwig.protocol;SubscriptionPreferencesOrBuilder;hasMessageWindowSize;4.1.1;0;0;1;0;1;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0;false
BOOKKEEPER;org.apache.hedwig.protocol;SubscriptionPreferencesOrBuilder;hasMessageWindowSize;4.2.0;0;0;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0;true
BOOKKEEPER;org.apache.hedwig.protocol;SubscriptionPreferencesOrBuilder;hasMessageWindowSize;4.2.1;0;0;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0;true
BOOKKEEPER;org.apache.bookkeeper.client;DigestManager;verifyDigestAndReturnData;4.0.0;0;0;0;0;3;10;5;5,00;3;3;1,50;13;8;6,50;0;0;0;false
BOOKKEEPER;org.apache.bookkeeper.client;DigestManager;verifyDigestAndReturnData;4.1.0;0;0;0;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0;false
BOOKKEEPER;org.apache.bookkeeper.client;DigestManager;verifyDigestAndReturnData;4.1.1;0;0;0;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0;false
BOOKKEEPER;org.apache.bookkeeper.client;DigestManager;verifyDigestAndReturnData;4.2.0;0;0;0;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0;false
BOOKKEEPER;org.apache.bookkeeper.client;DigestManager;verifyDigestAndReturnData;4.2.1;0;0;0;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0;false
BOOKKEEPER;org.apache.hedwig.protocol;StartDeliveryRequest;toBuilder;4.0.0;1;1;1;0;1;0;0;0,00;0;0;0,00;0;0;0,00;0;1;0;false
BOOKKEEPER;org.apache.hedwig.protocol;StartDeliveryRequest;toBuilder;4.1.0;1;1;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;1;0;false
BOOKKEEPER;org.apache.hedwig.protocol;StartDeliveryRequest;toBuilder;4.1.1;1;1;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;1;0;false
BOOKKEEPER;org.apache.hedwig.protocol;StartDeliveryRequest;toBuilder;4.2.0;1;1;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;1;0;true
BOOKKEEPER;org.apache.hedwig.protocol;StartDeliveryRequest;toBuilder;4.2.1;1;1;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;1;0;true
BOOKKEEPER;org.apache.hedwig.server.persistence;BookkeeperPersistenceManager;deliveredUntil;4.0.0;0;0;1;0;1;2;2;2,00;0;0;0,00;2;2;2,00;0;0;2;false
BOOKKEEPER;org.apache.hedwig.server.persistence;BookkeeperPersistenceManager;deliveredUntil;4.1.0;0;0;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;0;2;false
BOOKKEEPER;org.apache.hedwig.server.persistence;BookkeeperPersistenceManager;deliveredUntil;4.1.1;0;0;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;0;2;false
BOOKKEEPER;org.apache.hedwig.server.persistence;BookkeeperPersistenceManager;deliveredUntil;4.2.0;0;0;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;0;2;true
BOOKKEEPER;org.apache.hedwig.server.persistence;BookkeeperPersistenceManager;deliveredUntil;4.2.1;0;0;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;0;2;true
BOOKKEEPER;org.apache.hedwig.server.delivery;ChannelEndPoint;equals;4.0.0;5;4;2;1;1;8;8;8,00;0;0;0,00;8;8;8,00;1;3;1;false
BOOKKEEPER;org.apache.hedwig.server.delivery;ChannelEndPoint;equals;4.1.0;5;4;2;1;0;0;0;0,00;0;0;0,00;0;0;0,00;1;3;1;false
BOOKKEEPER;org.apache.hedwig.server.delivery;ChannelEndPoint;equals;4.1.1;5;4;2;1;0;0;0;0,00;0;0;0,00;0;0;0,00;1;3;1;false
