Model;Feature Selection;Features Number;Precision;Recall;AUC;Kappa
RandomForest;info-gain;18;0.9659620852953419;0.9664250827162439;0.977035842583075;0.8354713373189131
NaiveBayes;info-gain;18;0.8548984569519602;0.8738380337167164;0.8913724345434941;0.2842491767741404
IBk;info-gain;18;0.9567349745641375;0.9573656845753898;0.9619385294345797;0.7909660405933786
